[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch   0 | RMSE 0.5860 | ES 0.4446 | NLL 0.9090 | mean_MSE 0.3777 | objective 0.6110
Epoch  90 | RMSE 0.2896 | ES 0.2522 | NLL -0.3270 | mean_MSE 0.0847 | objective 0.2364
Epoch  91 | RMSE 0.2736 | ES 0.2468 | NLL -0.1976 | mean_MSE 0.0752 | objective 0.2420
Epoch  92 | RMSE 0.3877 | ES 0.3103 | NLL 0.0214 | mean_MSE 0.1578 | objective 0.3440
Epoch  93 | RMSE 0.3086 | ES 0.2617 | NLL -0.2862 | mean_MSE 0.0965 | objective 0.2524
Epoch  94 | RMSE 0.3014 | ES 0.2599 | NLL -0.3680 | mean_MSE 0.0920 | objective 0.2415
Epoch  95 | RMSE 0.2702 | ES 0.2421 | NLL -0.4380 | mean_MSE 0.0742 | objective 0.2132
Epoch  96 | RMSE 0.3263 | ES 0.2774 | NLL -0.1829 | mean_MSE 0.1091 | objective 0.2809
Epoch  97 | RMSE 0.2921 | ES 0.2510 | NLL -0.4993 | mean_MSE 0.0870 | objective 0.2184
Epoch  98 | RMSE 0.3061 | ES 0.2667 | NLL -0.3352 | mean_MSE 0.0944 | objective 0.2521
Epoch  99 | RMSE 0.2925 | ES 0.2580 | NLL -0.2914 | mean_MSE 0.0870 | objective 0.2462
Epoch 100 | RMSE 0.3848 | ES 0.3065 | NLL 1.2634 | mean_MSE 0.1513 | objective 0.4631
Epoch 101 | RMSE 0.2752 | ES 0.2471 | NLL -0.4493 | mean_MSE 0.0764 | objective 0.2175
Epoch 102 | RMSE 0.3359 | ES 0.2789 | NLL -0.3972 | mean_MSE 0.1145 | objective 0.2621
Epoch 103 | RMSE 0.2846 | ES 0.2525 | NLL -0.4459 | mean_MSE 0.0824 | objective 0.2244
Epoch 104 | RMSE 0.2938 | ES 0.2558 | NLL -0.3059 | mean_MSE 0.0866 | objective 0.2426
Epoch 105 | RMSE 0.2785 | ES 0.2455 | NLL -0.5039 | mean_MSE 0.0778 | objective 0.2106
Epoch 106 | RMSE 0.2875 | ES 0.2531 | NLL -0.4175 | mean_MSE 0.0831 | objective 0.2280
Epoch 107 | RMSE 0.3162 | ES 0.2634 | NLL -0.3875 | mean_MSE 0.1017 | objective 0.2450
Epoch 108 | RMSE 0.2896 | ES 0.2558 | NLL -0.2731 | mean_MSE 0.0844 | objective 0.2454
Epoch 109 | RMSE 0.3408 | ES 0.2745 | NLL -0.1986 | mean_MSE 0.1194 | objective 0.2786
Epoch 110 | RMSE 0.2765 | ES 0.2447 | NLL -0.5173 | mean_MSE 0.0767 | objective 0.2084
Epoch 111 | RMSE 0.2968 | ES 0.2566 | NLL -0.2782 | mean_MSE 0.0888 | objective 0.2465
Epoch 112 | RMSE 0.2486 | ES 0.2302 | NLL -0.5659 | mean_MSE 0.0620 | objective 0.1860
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz96/results/l96_dim40_balanced_d0to7_ep150/checkpoints/l96_dim40_balanced_d0to7_ep150_plain_best.pt
Epoch 113 | RMSE 0.2924 | ES 0.2549 | NLL -0.3366 | mean_MSE 0.0863 | objective 0.2385
Epoch 114 | RMSE 0.3355 | ES 0.2795 | NLL -0.1840 | mean_MSE 0.1137 | objective 0.2839
Epoch 115 | RMSE 0.2625 | ES 0.2388 | NLL -0.5591 | mean_MSE 0.0694 | objective 0.1968
Epoch 116 | RMSE 0.3070 | ES 0.2611 | NLL -0.3765 | mean_MSE 0.0954 | objective 0.2426
Epoch 117 | RMSE 0.2594 | ES 0.2379 | NLL -0.4831 | mean_MSE 0.0675 | objective 0.2031
Epoch 118 | RMSE 0.2849 | ES 0.2524 | NLL -0.3980 | mean_MSE 0.0838 | objective 0.2293
Epoch 119 | RMSE 0.2658 | ES 0.2403 | NLL -0.5418 | mean_MSE 0.0711 | objective 0.2003
Epoch 120 | RMSE 0.2589 | ES 0.2357 | NLL -0.5518 | mean_MSE 0.0674 | objective 0.1940
Epoch 121 | RMSE 0.3009 | ES 0.2588 | NLL -0.4189 | mean_MSE 0.0913 | objective 0.2352
Epoch 122 | RMSE 0.2757 | ES 0.2446 | NLL -0.5003 | mean_MSE 0.0765 | objective 0.2098
Epoch 123 | RMSE 0.2813 | ES 0.2421 | NLL -0.4238 | mean_MSE 0.0794 | objective 0.2156
Epoch 124 | RMSE 0.2981 | ES 0.2578 | NLL -0.4979 | mean_MSE 0.0898 | objective 0.2259
Epoch 125 | RMSE 0.3529 | ES 0.2860 | NLL -0.2529 | mean_MSE 0.1276 | objective 0.2862
Epoch 126 | RMSE 0.2572 | ES 0.2358 | NLL -0.5460 | mean_MSE 0.0663 | objective 0.1945
Epoch 127 | RMSE 0.2813 | ES 0.2483 | NLL -0.2816 | mean_MSE 0.0796 | objective 0.2360
Epoch 128 | RMSE 0.3047 | ES 0.2576 | NLL -0.2699 | mean_MSE 0.0946 | objective 0.2495
Epoch 129 | RMSE 0.2712 | ES 0.2384 | NLL -0.4252 | mean_MSE 0.0747 | objective 0.2108
Epoch 130 | RMSE 0.2916 | ES 0.2552 | NLL -0.2809 | mean_MSE 0.0864 | objective 0.2444
Epoch 131 | RMSE 0.2886 | ES 0.2564 | NLL -0.3516 | mean_MSE 0.0836 | objective 0.2379
Epoch 132 | RMSE 0.2963 | ES 0.2599 | NLL -0.4207 | mean_MSE 0.0884 | objective 0.2355
Epoch 133 | RMSE 0.2746 | ES 0.2450 | NLL -0.5094 | mean_MSE 0.0761 | objective 0.2092
Epoch 134 | RMSE 0.2842 | ES 0.2481 | NLL -0.4571 | mean_MSE 0.0812 | objective 0.2186
Epoch 135 | RMSE 0.2687 | ES 0.2465 | NLL -0.4610 | mean_MSE 0.0730 | objective 0.2150
Epoch 136 | RMSE 0.2771 | ES 0.2450 | NLL -0.4830 | mean_MSE 0.0773 | objective 0.2122
Epoch 137 | RMSE 0.2777 | ES 0.2484 | NLL -0.5156 | mean_MSE 0.0782 | objective 0.2125
Epoch 138 | RMSE 0.2933 | ES 0.2565 | NLL -0.3751 | mean_MSE 0.0876 | objective 0.2365
Epoch 139 | RMSE 0.3066 | ES 0.2632 | NLL -0.2728 | mean_MSE 0.0947 | objective 0.2549
